margin,manufacturing-cost,number-of-friendships,monthly-fee,random-join?,number-of-persons,network-profit,network-sale-revenue,network-fee-revenue,network-sponsor-cost,network-manufacturing-cost
0.12,0.8,300,100,TRUE,300,4966,169659.6,3700,14157.49,154236
0.12,0.8,300,100,TRUE,300,6966,180743.2,3700,13165.14,164312
0.12,0.8,300,100,TRUE,300,7149,160190.8,3500,10913.85,145628
0.12,0.8,300,100,TRUE,300,6919,158829.44,3800,11320.22,144390.4
0.12,0.8,300,100,TRUE,300,5169,157248.96,3400,12526.35,142953.6
0.12,0.8,300,100,TRUE,300,5679,164632.16,3400,12687.09,149665.6
0.13,0.8,300,100,TRUE,300,6781,183399.48,3900,11875.72,168643.2
0.13,0.8,300,100,TRUE,300,6690,182406.81,3700,11686.66,167730.4
0.13,0.8,300,100,TRUE,300,5492,169999.74,3800,11986.4,156321.6
0.13,0.8,300,100,TRUE,300,7196,186393.15,4200,12001.63,171396
0.13,0.8,300,100,TRUE,300,9368,190946.73,4000,9995.87,175583.2
0.13,0.8,300,100,TRUE,300,6221,178570.98,4000,12146.37,164203.2
0.13,0.8,300,100,TRUE,300,5482,168381.54,3800,11865.7,154833.6
0.13,0.8,300,100,TRUE,300,5084,184709.7,3900,13677.3,169848
0.13,0.8,300,100,TRUE,300,4357,176220.24,3700,13521.5,162041.6
0.13,0.8,300,100,TRUE,300,8095,173342.28,4400,10251.72,159395.2
0.14,0.8,300,100,TRUE,300,3541,187442.16,4300,13836.67,174364.8
0.14,0.8,300,100,TRUE,300,3951,171576.02,3700,11718.94,159605.6
0.14,0.8,300,100,TRUE,300,6066,188184.34,4200,11262.8,175055.2
0.14,0.8,300,100,TRUE,300,1817,173442.22,3800,14083.68,161341.6
0.14,0.8,300,100,TRUE,300,2676,206959.86,4600,16362.63,192520.8
0.14,0.8,300,100,TRUE,300,3862,176600.14,4000,12458.47,164279.2
0.14,0.8,300,100,TRUE,300,8806,177659.66,5100,8689.27,165264.8
0.14,0.8,300,100,TRUE,300,4872,179617.88,4700,12359.49,167086.4
0.14,0.8,300,100,TRUE,300,5540,185001.48,4700,12067.5,172094.4
0.14,0.8,300,100,TRUE,300,4025,178763.04,4300,12746.76,166291.2
0.15,0.8,300,100,TRUE,300,-238,196446.9,4400,16193.92,184891.2
0.15,0.8,300,100,TRUE,300,1027,168282.15,4200,13072.44,158383.2
0.15,0.8,300,100,TRUE,300,-67,206122.45,4900,17091.4,193997.6
0.15,0.8,300,100,TRUE,300,4645,184579.2,4500,10712.33,173721.6
0.15,0.8,300,100,TRUE,300,871,171639.65,4500,13725.44,161543.2
0.15,0.8,300,100,TRUE,300,3006,194876.95,4500,12957.63,183413.6
0.15,0.8,300,100,TRUE,300,3001,202204.8,4700,13593.05,190310.4
0.15,0.8,300,100,TRUE,300,-1315,194927.1,4000,16781.19,183460.8
0.15,0.8,300,100,TRUE,300,-1318,178851.9,4200,16038.63,168331.2
0.15,0.8,300,100,TRUE,300,1263,188088,4200,14000.78,177024
0.16,0.8,300,100,TRUE,300,578,185895.36,4500,12773.92,177043.2
0.16,0.8,300,100,TRUE,300,2423,216500.76,5500,13386.34,206191.2
0.16,0.8,300,100,TRUE,300,-5,208072.2,5600,15513.66,198164
0.16,0.8,300,100,TRUE,300,-2420,203827.68,4800,16925.75,194121.6
0.16,0.8,300,100,TRUE,300,2510,194149.2,5300,12035.35,184904
0.16,0.8,300,100,TRUE,300,-209,192526.32,4800,14177.12,183358.4
0.16,0.8,300,100,TRUE,300,-359,205191.84,5000,15130.48,195420.8
0.16,0.8,300,100,TRUE,300,-285,199818.36,4500,14300.46,190303.2
0.16,0.8,300,100,TRUE,300,1964,191249.52,4900,12043.44,182142.4
0.16,0.8,300,100,TRUE,300,-1362,195549.48,4900,15573.63,186237.6
0.17,0.8,300,100,TRUE,300,-4257,195259.16,5100,16414.61,188201.6
0.17,0.8,300,100,TRUE,300,-1792,194439.12,4500,13320.32,187411.2
0.17,0.8,300,100,TRUE,300,-1804,202967.37,5400,14539.73,195631.2
0.17,0.8,300,100,TRUE,300,1453,175495.2,4900,9790.23,169152
0.17,0.8,300,100,TRUE,300,-1421,195066.6,5400,13871.94,188016
0.17,0.8,300,100,TRUE,300,-2707,200610.17,5800,15758.43,193359.2
0.17,0.8,300,100,TRUE,300,-3148,213503.39,5300,16165.22,205786.4
0.17,0.8,300,100,TRUE,300,-1776,204843.17,5100,14279.64,197439.2
0.17,0.8,300,100,TRUE,300,-1840,196535.7,5400,14343.26,189432
0.17,0.8,300,100,TRUE,300,-5616,188294.63,5300,17721.53,181488.8
0.18,0.8,300,100,TRUE,300,-2584,192238.34,5300,12572.73,187549.6
0.18,0.8,300,100,TRUE,300,-6296,208317.72,6000,17377.2,203236.8
0.18,0.8,300,100,TRUE,300,-4704,206085.68,5300,15030.01,201059.2
0.18,0.8,300,100,TRUE,300,-5301,212274.22,5600,16078.12,207096.8
0.18,0.8,300,100,TRUE,300,-3566,204388.28,5300,13851.07,199403.2
0.18,0.8,300,100,TRUE,300,-2370,200654.82,5600,12864.17,195760.8
0.18,0.8,300,100,TRUE,300,-2415,190476.16,5500,12561.23,185830.4
0.18,0.8,300,100,TRUE,300,-6380,207100.02,5600,17031.21,202048.8
0.18,0.8,300,100,TRUE,300,-2892,197459.28,5500,13208.32,192643.2
0.18,0.8,300,100,TRUE,300,-6099,210679.32,5700,16937.82,205540.8
0.19,0.8,300,100,TRUE,300,-6317,198077.4,5600,14362.12,195632
0.19,0.8,300,100,TRUE,300,-4867,199362.87,6100,13428,196901.6
0.19,0.8,300,100,TRUE,300,-8494,211277.16,5500,16602.83,208668.8
0.19,0.8,300,100,TRUE,300,-6352,215530.47,6700,15712.5,212869.6
0.19,0.8,300,100,TRUE,300,-3198,191910.06,5700,11267.07,189540.8
0.19,0.8,300,100,TRUE,300,-8489,211027.68,6100,17194.51,208422.4
0.19,0.8,300,100,TRUE,300,-5977,194609.79,5900,14279.1,192207.2
0.19,0.8,300,100,TRUE,300,-9787,214655.67,6000,18437.25,212005.6
0.19,0.8,300,100,TRUE,300,-6580,198381.96,6000,15029.16,195932.8
0.19,0.8,300,100,TRUE,300,-7335,201155.4,6500,16318.16,198672
0.2,0.8,300,100,TRUE,300,-17256,197861.6,5600,22855.74,197861.6
0.2,0.8,300,100,TRUE,300,-10264,197211.2,5900,16164.08,197211.2
