margin,manufacturing-cost,number-of-friendships,monthly-fee,random-join?,number-of-persons,network-profit,network-sale-revenue,network-fee-revenue,network-sponsor-cost,network-manufacturing-cost
0.12,0.2,300,100,TRUE,300,132863,179070.32,4000,9509.08,40697.8
0.13,0.2,300,100,TRUE,300,129412,177426.93,3700,10926.97,40787.8
0.13,0.2,300,100,TRUE,300,121812,170748.81,3800,13484.24,39252.6
0.13,0.2,300,100,TRUE,300,119213,164948.52,3900,11715.88,37919.2
0.13,0.2,300,100,TRUE,300,129934,179040.78,4200,12148.46,41158.8
0.13,0.2,300,100,TRUE,300,113988,158479.2,3100,11159.15,36432
0.13,0.2,300,100,TRUE,300,126344,172323.51,3800,10164.9,39614.6
0.13,0.2,300,100,TRUE,300,118274,165017.25,3600,12408.27,37935
0.13,0.2,300,100,TRUE,300,129452,180658.11,3700,13375.68,41530.6
0.13,0.2,300,100,TRUE,300,136539,192141.24,4100,15531.51,44170.4
0.14,0.2,300,100,TRUE,300,146898,202257.38,4700,13022.91,47036.6
0.14,0.2,300,100,TRUE,300,129250,177648.48,4600,11685.18,41313.6
0.14,0.2,300,100,TRUE,300,123333,177706.96,4400,17447.24,41327.2
0.14,0.2,300,100,TRUE,300,132372,181005.06,4200,10739.12,42094.2
0.14,0.2,300,100,TRUE,300,118356,164462.96,3800,11659.43,38247.2
0.14,0.2,300,100,TRUE,300,124627,173940.16,3600,12461.55,40451.2
0.14,0.2,300,100,TRUE,300,138423,191305.28,4500,12892.85,44489.6
0.14,0.2,300,100,TRUE,300,128827,177691.48,4300,11841.25,41323.6
0.14,0.2,300,100,TRUE,300,118440,163068.9,3900,10605.59,37923
0.14,0.2,300,100,TRUE,300,125376,175298.96,3900,13055.67,40767.2
0.15,0.2,300,100,TRUE,300,134575,188813.05,4400,14211.72,44426.6
0.15,0.2,300,100,TRUE,300,141670,197145.6,5000,14088.29,46387.2
0.15,0.2,300,100,TRUE,300,135161,189645.2,4400,14261.4,44622.4
0.15,0.2,300,100,TRUE,300,145055,200816.75,5400,13910.35,47251
0.15,0.2,300,100,TRUE,300,134602,183790.4,5200,11143.95,43244.8
0.15,0.2,300,100,TRUE,300,132020,183724.95,4300,12776.05,43229.4
0.15,0.2,300,100,TRUE,300,147512,205731.45,4700,14512.19,48407.4
0.15,0.2,300,100,TRUE,300,136463,187396.1,4600,11440.02,44093.2
0.15,0.2,300,100,TRUE,300,148543,206197.25,5200,14337.56,48517
0.15,0.2,300,100,TRUE,300,136147,191144.6,4900,14922.73,44975.2
0.16,0.2,300,100,TRUE,300,143411,198503.76,5000,12829.67,47262.8
0.16,0.2,300,100,TRUE,300,135300,186801.72,4900,11924.97,44476.6
0.16,0.2,300,100,TRUE,300,141134,195081.6,5300,12799.4,46448
0.16,0.2,300,100,TRUE,300,129523,181104.84,5000,13461.82,43120.2
0.16,0.2,300,100,TRUE,300,137173,192626.28,4700,14289.96,45863.4
0.16,0.2,300,100,TRUE,300,134788,186830.28,5100,12658.69,44483.4
0.16,0.2,300,100,TRUE,300,135482,189103.32,4600,13197.05,45024.6
0.16,0.2,300,100,TRUE,300,142000,198394.56,5000,14158.14,47236.8
0.16,0.2,300,100,TRUE,300,144028,201092.64,4900,14085.66,47879.2
0.16,0.2,300,100,TRUE,300,142110,198952.32,4900,14373.13,47369.6
0.17,0.2,300,100,TRUE,300,145067,203481.14,5500,14882.8,49031.6
