"BehaviorSpace results (NetLogo 4.1.2)"
"oriflame7.nlogo"
"max-profit1"
"05/03/2011 14:19:07:568 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","margin","manufacturing-cost","number-of-friendships","monthly-fee","random-join?","number-of-persons","[step]","network-profit","network-sale-revenue","network-fee-revenue","network-sponsor-cost","network-manufacturing-cost"
"97","0.09999999999999999","0.8","300","100","true","300","41","15778","166680.9","3000","5741.989999999998","148160.80000000002"
"98","0.09999999999999999","0.8","300","100","true","300","44","13403","140438.7","3000","5201.26","124834.40000000001"
"99","0.09999999999999999","0.8","300","100","true","300","44","10455","154416.6","2800","9502.189999999997","137259.2"
"100","0.09999999999999999","0.8","300","100","true","300","50","9498","123827.40000000001","2400","6660.93","110068.8"
"101","0.11","0.8","300","100","true","300","38","13069","140421.53","3600","4730.98","126221.6"
"102","0.11","0.8","300","100","true","300","41","11453","150330.79","3200","6949.180000000002","135128.80000000002"
"103","0.11","0.8","300","100","true","300","34","11570","156008.99","3100","7306.42","140232.80000000002"
"104","0.11","0.8","300","100","true","300","50","11352","153310.51","3400","7551.780000000001","137807.2"
"105","0.11","0.8","300","100","true","300","41","12489","142035.1","3000","4874","127672"
"106","0.11","0.8","300","100","true","300","48","14414","158664.75","3600","5230.720000000001","142620"
"107","0.11","0.8","300","100","true","300","39","7477","149711.35","3400","11062.58","134572"
"108","0.11","0.8","300","100","true","300","43","6749","145369.93","3100","11051.550000000003","130669.6"
"109","0.11","0.8","300","100","true","300","38","16209","171857.22","3800","4969.85","154478.4"
"110","0.11","0.8","300","100","true","300","42","13260","143597.05","3300","4561.480000000001","129076"
"111","0.12","0.8","300","100","true","300","35","5175","152966.88","3500","12231.44","139060.80000000002"
"112","0.12","0.8","300","100","true","300","67","9888","146481.28","3200","6628.75","133164.80000000002"
"113","0.12","0.8","300","100","true","300","38","14548","166753.84","3600","4211.07","151594.4"
"114","0.12","0.8","300","100","true","300","49","10679","163847.2","3500","7716.269999999997","148952"
"115","0.12","0.8","300","100","true","300","41","11899","139749.28","3100","3905.51","127044.8"
"116","0.12","0.8","300","100","true","300","44","8821","172387.6","3900","10750.400000000003","156716"
"117","0.12","0.8","300","100","true","300","31","11822","171940.56","3900","7709.379999999999","156309.6"
"118","0.12","0.8","300","100","true","300","40","14276","153642.72","3600","3291.83","139675.2"
"119","0.12","0.8","300","100","true","300","33","11705","138805.92","3300","4213.729999999999","126187.20000000001"
"120","0.12","0.8","300","100","true","300","35","9983","166643.84","3300","8466.500000000002","151494.4"
"121","0.13","0.8","300","100","true","300","38","12041","177237.27","4200","6418.990000000002","162976.80000000002"
"122","0.13","0.8","300","100","true","300","43","6680","175706.94","3700","11157.11","161569.6"
"123","0.13","0.8","300","100","true","300","39","7091","167777.76","4000","10408.21","154278.4"
"124","0.13","0.8","300","100","true","300","42","12109","160534.13999999998","4400","5207.620000000001","147617.6"
"125","0.13","0.8","300","100","true","300","44","9038","168811.32","4100","8644.560000000001","155228.80000000002"
"126","0.13","0.8","300","100","true","300","41","9767","161255.37","3800","7007.830000000004","148280.80000000002"
"127","0.13","0.8","300","100","true","300","40","14137","179793.33","4100","4429.470000000001","165327.2"
"128","0.13","0.8","300","100","true","300","39","7830","176647.41","4300","10683.339999999998","162434.40000000002"
"129","0.13","0.8","300","100","true","300","39","11879","179989.95","4300","6903.410000000002","165508"
"130","0.13","0.8","300","100","true","300","40","12321","172416.6","4300","5851.960000000001","158544"
"131","0.14","0.8","300","100","true","300","39","7478","183662.46","4300","9635.390000000001","170848.80000000002"
"132","0.14","0.8","300","100","true","300","39","10118","194138.12","4700","8126.289999999997","180593.6"
"133","0.14","0.8","300","100","true","300","50","6293","155038.22","4000","8523.879999999997","144221.6"
"134","0.14","0.8","300","100","true","300","38","6350","167215.82","3700","9016.23","155549.6"
"135","0.14","0.8","300","100","true","300","37","6873","190711.88","4600","11032.019999999999","177406.40000000002"
"136","0.14","0.8","300","100","true","300","40","11645","176624.22","4600","5277.449999999999","164301.6"
"137","0.14","0.8","300","100","true","300","39","6660","186386.94","4300","10643.99","173383.2"
"138","0.14","0.8","300","100","true","300","33","6372","166573.4","4200","9449.099999999999","154952"
"139","0.14","0.8","300","100","true","300","37","8317","171905.4","4200","7876.629999999999","159912"
"140","0.14","0.8","300","100","true","300","40","11588","167325.04","3700","3785.5300000000007","155651.2"
"141","0.15000000000000002","0.8","300","100","true","300","34","2440","198910.19999999998","5200","14460.290000000005","187209.6"
"142","0.15000000000000002","0.8","300","100","true","300","34","10427","179039.75","4800","4904.619999999999","168508"
"144","0.15000000000000002","0.8","300","100","true","300","34","6180","188710.19999999998","5300","10220.269999999999","177609.6"
"143","0.15000000000000002","0.8","300","100","true","300","38","7985","178262.85","4400","6901.390000000001","167776.80000000002"
"145","0.15000000000000002","0.8","300","100","true","300","38","9264","186564.8","4700","6410.090000000002","175590.40000000002"
"146","0.15000000000000002","0.8","300","100","true","300","40","5739","167183.94999999998","4100","8195.220000000001","157349.6"
"147","0.15000000000000002","0.8","300","100","true","300","35","5642","172801.6","4200","8722.78","162636.80000000002"
"148","0.15000000000000002","0.8","300","100","true","300","40","8415","167419.4","4300","5733.290000000001","157571.2"
"149","0.15000000000000002","0.8","300","100","true","300","35","7493","196521.69999999998","4900","8967.269999999999","184961.6"
"150","0.15000000000000002","0.8","300","100","true","300","40","4121","181356.85","4400","10947.029999999997","170688.80000000002"
"151","0.16","0.8","300","100","true","300","37","2460","190767.36","5000","11624.489999999998","181683.2"
"152","0.16","0.8","300","100","true","300","31","1664","212745.12","5300","13767.18","202614.40000000002"
"153","0.16","0.8","300","100","true","300","33","8584","197648.63999999998","5500","6327.630000000001","188236.80000000002"
"154","0.16","0.8","300","100","true","300","36","5994","188529.6","5300","8283.11","179552"
"155","0.16","0.8","300","100","true","300","37","5511","188992.44","4800","8289.090000000002","179992.80000000002"
"156","0.16","0.8","300","100","true","300","34","3672","193572.96","5000","10545.869999999995","184355.2"
"157","0.16","0.8","300","100","true","300","35","3265","191219.28","5000","10840.440000000002","182113.6"
"158","0.16","0.8","300","100","true","300","32","6712","198966.6","5000","7762.130000000003","189492"
"159","0.16","0.8","300","100","true","300","32","4062","205391.75999999998","5600","11318.089999999998","195611.2"
