"BehaviorSpace results (NetLogo 4.1)"
"oriflame6.nlogo"
"bottleneck1"
"05/01/2011 17:26:56:634 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","number-of-friendships","number-of-persons","random-join?","monthly-fee","margin","[step]","all-persons-avg-friend-count","bottleneck-avg-friend-count","all-persons-avg-be-point","bottleneck-avg-be-point","count persons with [bottleneck?]","count persons with [not invited?]"
"32","150","300","false","100","0.3","1","3.0033222591362128","2.4166666666666665","1003.3887043189369","1959.4166666666667","12","16"
"33","150","300","false","100","0.3","1","2.9966777408637872","2.357142857142857","1072.3538205980067","1450.142857142857","14","12"
"34","150","300","false","100","0.3","1","3.0033222591362128","2.3333333333333335","1101.1976744186047","1727.25","12","9"
"35","150","300","false","100","0.3","1","2.9833887043189367","2.5714285714285716","1034.1777408637874","1687.142857142857","14","10"
"36","150","300","false","100","0.3","1","2.9833887043189367","2.7142857142857144","1039.2574750830565","1659.4285714285713","7","7"
"37","150","300","false","100","0.3","1","2.9767441860465116","2.4444444444444446","1079.9950166112956","1889","9","9"
"38","150","300","false","100","0.3","1","2.9966777408637872","2.6363636363636362","1061.9983388704318","1806.9545454545455","11","10"
"39","150","300","false","100","0.3","1","3.0033222591362128","2.6666666666666665","1037.9335548172758","2010.8333333333333","6","7"
"40","150","300","false","100","0.3","1","2.990033222591362","2.7058823529411766","1031.9933554817276","1637.9117647058824","17","18"
"41","150","300","false","100","0.3","1","3.0033222591362128","2.4375","1005.764119601329","1624.25","16","13"
"42","150","300","false","100","0.3","1","2.9833887043189367","2.4444444444444446","1079.392026578073","2149.4444444444443","9","9"
"43","150","300","false","100","0.3","1","2.9833887043189367","2.6666666666666665","1016.1129568106312","1801.3333333333333","12","13"
"44","150","300","false","100","0.3","1","3.0033222591362128","2.25","1113.1960132890365","2280.375","8","9"
"45","150","300","false","100","0.3","1","2.9966777408637872","2.5714285714285716","1127.235880398671","1459.5","14","13"
"46","150","300","false","100","0.3","1","2.9966777408637872","2.2857142857142856","984.0980066445183","1344.0714285714287","7","9"
"47","150","300","false","100","0.3","1","2.9966777408637872","2.4444444444444446","1031.860465116279","1553.6666666666667","18","14"
"48","150","300","false","100","0.3","1","2.9966777408637872","2.375","1012.1445182724252","1725.9375","16","16"
"49","150","300","false","100","0.3","1","2.9966777408637872","2.5","1069.2956810631229","1490.1666666666667","6","6"
"50","150","300","false","100","0.3","1","2.990033222591362","2.3","1054.4983388704318","1806.2","10","7"
"51","150","300","false","100","0.3","1","3.0033222591362128","4","1056.1694352159468","1638","1","297"
"53","150","300","false","100","0.3","1","2.990033222591362","2.5","993.156146179402","1376.1666666666667","6","6"
"52","150","300","false","100","0.3","1","2.990033222591362","2.4","1071.7126245847176","1750.9","10","11"
"55","150","300","false","100","0.3","1","2.990033222591362","2.5384615384615383","1054.0581395348838","1912.2307692307693","13","14"
"54","150","300","false","100","0.3","1","2.9966777408637872","2.3846153846153846","1030.7375415282393","1546.576923076923","13","10"
