"BehaviorSpace results (NetLogo 4.1.2)"
"oriflame7.nlogo"
"max-profit1"
"05/03/2011 12:46:43:547 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","margin","manufacturing-cost","number-of-friendships","monthly-fee","random-join?","number-of-persons","[step]","network-profit","network-sale-revenue","network-fee-revenue","network-sponsor-cost","network-manufacturing-cost"
"157","0.16","0.4","300","100","false","300","22","91703","187751.75999999998","4500","11143.03","89405.6"
"158","0.16","0.4","300","100","false","300","24","69753","147640.08","3600","11181.950000000003","70304.8"
"159","0.16","0.4","300","100","false","300","23","87760","192628.8","4500","17640.95","91728"
"160","0.16","0.4","300","100","false","300","20","85618","186277.56","4100","16055.950000000003","88703.6"
"161","0.17","0.4","300","100","false","300","29","85945","179962.25999999998","4800","12088.66","86728.8"
"162","0.17","0.4","300","100","false","300","27","77516","168111.52","4000","13577.76","81017.6"
"163","0.17","0.4","300","100","false","300","21","81408","177391.75","4500","14993.730000000001","85490"
"165","0.17","0.4","300","100","false","300","22","82180","175999.00999999998","4300","13300.479999999998","84818.8"
"164","0.17","0.4","300","100","false","300","22","79466","174156.41","4500","15259.84","83930.8"
"166","0.17","0.4","300","100","false","300","25","96175","199841.59","5400","12757.699999999999","96309.20000000001"
"167","0.17","0.4","300","100","false","300","31","81631","177682.25","4600","15020.789999999997","85630"
"168","0.17","0.4","300","100","false","300","29","77703","168781.33","4200","13938.349999999997","81340.40000000001"
"169","0.17","0.4","300","100","false","300","24","85248","183469.00999999998","4600","14402.130000000003","88418.8"
"170","0.17","0.4","300","100","false","300","25","86255","179400.35","4700","11387.839999999998","86458"
"171","0.18000000000000002","0.4","300","100","false","300","23","88187","195972.62","4700","16889.459999999995","95596.40000000001"
"172","0.18000000000000002","0.4","300","100","false","300","26","85189","191168.24","4900","17626.29","93252.8"
"173","0.18000000000000002","0.4","300","100","false","300","32","78324","175494.75999999998","4700","16263.650000000003","85607.20000000001"
"174","0.18000000000000002","0.4","300","100","false","300","24","84282","184338.46","4900","15034.900000000001","89921.20000000001"
"175","0.18000000000000002","0.4","300","100","false","300","24","83378","176536.16","4400","11443.199999999999","86115.20000000001"
